Date,Result,Hero,Duration,KDA
16/7/16,Won ,Death Prophet,47:53:00,13/2/11
16/7/16,Won ,Juggernaut,31:12:00,9/5/10
16/7/16,Won ,Juggernaut,36:11:00,8/2/14
16/7/16,Won ,Shadow Fiend,42:46:00,13/9/17
16/7/16,Won ,Puck,32:51:00,12/4/20
16/7/16,Won ,Juggernaut,52:51:00,10/4/11
16/7/16,Lost,Sven,49:27:00,11/6/10
13/7/16,Lost,Juggernaut,54:31:00,15/7/12
12/7/16,Won ,Juggernaut,39:56:00,17/2/19
10/7/16,Won ,Puck,26:08:00,10/2/08
9/7/16,Won ,Storm Spirit,46:32:00,14/9/25
9/7/16,Won ,Sand King,39:58:00,5/5/13
7/7/16,Lost,Juggernaut,38:43:00,9/6/06
7/7/16,Lost,Templar Assassin,31:51:00,5/5/07
4/7/16,Won ,Beastmaster,44:26:00,5/3/09
3/7/16,Won ,Juggernaut,31:08:00,11/6/11
1/7/16,Won ,Venomancer,2:41,0/0/0
1/7/16,Won ,Omniknight,25:57:00,0/1/8
1/7/16,Lost,Lion,49:02:00,1/17/14
1/7/16,Won ,Terrorblade,36:07:00,6/3/19
30/6/16,Lost,Lion,50:08:00,6/10/21
30/6/16,Lost,Death Prophet,32:50:00,8/10/06
30/6/16,Won ,Venomancer,37:17:00,2/7/16
30/6/16,Won ,Dragon Knight,32:19:00,3/2/12
29/6/16,Won ,Puck,39:49:00,14/1/20
29/6/16,Won ,Lion,43:28:00,3/4/25
27/6/16,Won ,Juggernaut,35:33:00,9/2/17
24/6/16,Won ,Venomancer,13:55,2/0/2
24/6/16,Won ,Zeus,31:33:00,3/3/20
19/6/16,Won ,Venomancer,29:59:00,2/4/22
19/6/16,Won ,Templar Assassin,32:14:00,4/3/10
19/6/16,Won ,Lion,30:01:00,2/8/14
19/6/16,Won ,Shadow Fiend,33:33:00,13/3/17
18/6/16,Lost,Puck,51:34:00,5/7/23
18/6/16,Lost,Timbersaw,1:02:17,11/9/13
18/6/16,Won ,Bounty Hunter,46:55:00,12/11/32
11/6/16,Won ,Templar Assassin,26:48:00,15/2/06
11/6/16,Lost,Shadow Fiend,32:58:00,6/7/07
11/6/16,Won ,Lion,49:15:00,5/11/23
11/6/16,Lost,Shadow Fiend,30:52:00,7/8/07
11/6/16,Won ,Jakiro,33:15:00,0/1/23
10/6/16,Won ,Dragon Knight,1:16:54,14/10/23
10/6/16,Won ,Shadow Fiend,37:48:00,14/3/08
7/6/16,Won ,Shadow Fiend,48:00:00,16/4/13
6/6/16,Won ,Timbersaw,50:22:00,17/7/08
31/5/16,Won ,Templar Assassin,30:55:00,9/0/9
28/5/16,Lost,Slardar,59:37:00,7/11/13
28/5/16,Won ,Puck,42:37:00,10/4/27
